date,high,low,open,close,adjust,volume,symbol
04-06-10,32.9,31,32.9,31.1,17.49,958770,DTL
07-06-10,30.9,30,30.1,30.1,16.93,174100,DTL
08-06-10,31.6,30,31.6,30.6,17.21,296830,DTL
09-06-10,30.7,30,30.6,30.1,16.93,270660,DTL
10-06-10,30,28.7,29.4,29,16.31,171510,DTL
11-06-10,29.4,28.5,29.4,28.6,16.08,207730,DTL
14-06-10,30,28.6,28.6,29.5,16.59,344930,DTL
15-06-10,29.9,28.9,29.9,29,16.31,153920,DTL
16-06-10,29.8,29,29,29.5,16.59,225880,DTL
17-06-10,29.6,29.2,29.5,29.2,16.42,255440,DTL
18-06-10,29.2,28.6,29.2,28.9,16.25,121420,DTL
21-06-10,29.1,28.9,29,28.9,16.25,200230,DTL
22-06-10,23.6,22.9,23,23,16.17,275110,DTL
23-06-10,23.8,22.5,22.5,23,16.17,42650,DTL
24-06-10,24.1,23.3,23.5,24.1,16.94,396740,DTL
25-06-10,25,23.9,24,24.1,16.94,266630,DTL
28-06-10,24.2,23.9,24.2,24,16.87,148950,DTL
29-06-10,24.3,23.8,24,23.8,16.73,136270,DTL
30-06-10,23.3,22.7,23.2,22.8,16.03,404040,DTL
01-07-10,23,22.3,22.6,22.4,15.74,264470,DTL
02-07-10,23.2,22.2,23.2,22.9,16.1,91600,DTL
05-07-10,23,22.5,22.9,23,16.17,315070,DTL
06-07-10,23,22.5,22.5,22.9,16.1,1908600,DTL
07-07-10,23.2,22.8,23.2,22.9,16.1,339170,DTL
08-07-10,23.1,22.8,22.9,22.9,16.1,308800,DTL
09-07-10,23.4,22.8,23,23.4,16.45,622360,DTL
12-07-10,24.5,23.5,23.6,24.1,16.94,723230,DTL
13-07-10,24.3,23.9,24.3,24.1,16.94,315500,DTL
14-07-10,24.1,23.2,24,23.2,16.31,530560,DTL
15-07-10,23.9,23.4,23.5,23.4,16.45,905630,DTL
16-07-10,23.6,23.1,23.3,23.2,16.31,118880,DTL
19-07-10,23.1,22.7,22.8,23,16.17,81370,DTL
20-07-10,23,22.8,23,22.8,16.03,121800,DTL
21-07-10,22.9,22.5,22.9,22.7,15.96,176750,DTL
22-07-10,22.6,22.4,22.5,22.5,15.81,235640,DTL
