date,high,low,open,close,adjust,volume,symbol
04-01-10,61,60,60,61,1.97,653120,HPG
05-01-10,64,61,64,64,2.06,1203080,HPG
06-01-10,66,63,63.5,66,2.13,1771660,HPG
07-01-10,69,66,67,68,2.19,1535800,HPG
08-01-10,69.5,65,69.5,65,2.1,909010,HPG
11-01-10,66,63.5,65,64,2.06,761910,HPG
12-01-10,64.5,61.5,63,61.5,1.98,885660,HPG
13-01-10,63,59,61.5,63,2.03,958420,HPG
14-01-10,64,62,64,62,2,402680,HPG
15-01-10,63,61,62,61,1.97,472400,HPG
18-01-10,60.5,59,60.5,59,1.9,497510,HPG
19-01-10,61.5,59.5,59.5,60.5,1.95,594060,HPG
20-01-10,61.5,60,61.5,60,1.93,524300,HPG
21-01-10,60.5,58.5,59,58.5,1.89,425450,HPG
22-01-10,59,57.5,58,58.5,1.89,586550,HPG
25-01-10,59.5,58,58,59.5,1.92,199710,HPG
26-01-10,62,61,61,62,2,536240,HPG
27-01-10,62.5,60,62,60,1.93,271340,HPG
28-01-10,60.5,59,59.5,59,1.9,245300,HPG
29-01-10,61,59,60.5,60,1.93,393890,HPG
01-02-10,62.5,61,61,62.5,2.01,484240,HPG
02-02-10,64.5,62.5,64.5,64,2.06,1106050,HPG
03-02-10,64.5,63.5,64.5,64.5,2.08,884930,HPG
04-02-10,65.5,63.5,64,64.5,2.08,912150,HPG
05-02-10,64,62.5,63,63,2.03,572270,HPG
08-02-10,63.5,62.5,62.5,63,2.03,472190,HPG
09-02-10,63,62,62.5,63,2.03,328950,HPG
10-02-10,64,62.5,63,64,2.06,278940,HPG
11-02-10,64.5,63.5,64,64,2.06,203140,HPG
12-02-10,64.5,64,64,64.5,2.08,253950,HPG
22-02-10,64.5,63.5,64.5,64,2.06,184990,HPG
23-02-10,63,61.5,62.5,62,2,356540,HPG
24-02-10,62,60.5,62,62,2,371930,HPG
25-02-10,63,61.5,62,61.5,1.98,407930,HPG
26-02-10,62,60.5,61.5,60.5,1.95,451710,HPG
01-03-10,62,61,61,61.5,1.98,284110,HPG
02-03-10,64,61.5,61.5,63,2.03,549860,HPG
03-03-10,64,63,64,64,2.06,499740,HPG
04-03-10,65.5,64,65,64,2.06,694000,HPG
05-03-10,65,64,64.5,64.5,2.08,480790,HPG
08-03-10,66,64.5,65.5,66,2.13,450120,HPG
09-03-10,66.5,65,66,66,2.13,943010,HPG
10-03-10,67,65.5,66,67,2.16,596790,HPG
11-03-10,70,68.5,69,69,2.22,1672180,HPG
12-03-10,69.5,68.5,69.5,69,2.22,623150,HPG
15-03-10,69.5,68.5,69,68.5,2.21,497550,HPG
16-03-10,68,66.5,68,66.5,2.14,645500,HPG
17-03-10,67,65,67,65,2.1,682260,HPG
18-03-10,66.5,64.5,66.5,66.5,2.14,392020,HPG
19-03-10,67,65.5,66.5,66,2.13,371440,HPG
22-03-10,66,64.5,65.5,65,2.1,367360,HPG
23-03-10,65,64,65,64.5,2.08,442100,HPG
24-03-10,66,64,66,65,2.1,459882,HPG
25-03-10,64.5,63,64.5,63.5,2.05,419770,HPG
