date,high,low,open,close,adjust,volume,symbol
04-01-10,52,50.5,51,52,5.02,1420060,HSG
05-01-10,54.5,52.5,54.5,53,5.12,850480,HSG
06-01-10,55.5,53,53,55.5,5.36,1497290,HSG
07-01-10,57.5,55,57,55,5.31,968590,HSG
08-01-10,57,52.5,56,52.5,5.07,826260,HSG
11-01-10,53.5,51,53.5,51.5,4.98,858250,HSG
12-01-10,52.5,49.1,52,49.4,4.77,929460,HSG
13-01-10,51.5,47.1,49.4,51,4.93,1078940,HSG
14-01-10,53,51,52,52,5.02,663720,HSG
15-01-10,52,49.7,51.5,50,4.83,448070,HSG
18-01-10,49.2,47.5,49.1,47.5,4.59,616560,HSG
19-01-10,48.8,47.5,48,48,4.64,412840,HSG
20-01-10,48.5,45.8,48,45.8,4.42,256870,HSG
21-01-10,46.5,43.7,46.1,45,4.35,607040,HSG
22-01-10,45.7,44,44.5,45.2,4.37,315720,HSG
25-01-10,46.2,45.1,45.2,46.2,4.46,332720,HSG
26-01-10,48.5,48,48.2,48.5,4.69,468500,HSG
27-01-10,49.9,47.3,48.8,48,4.64,499050,HSG
28-01-10,48,46,46.8,46.5,4.49,197430,HSG
29-01-10,47,45.2,46.1,46.5,4.49,273640,HSG
01-02-10,47,45.9,46.1,47,4.54,213520,HSG
02-02-10,47.6,46.6,47,47.2,4.56,396730,HSG
03-02-10,48.8,47.3,47.5,48,4.64,261760,HSG
04-02-10,49.8,48.2,48.5,49.3,4.76,396530,HSG
05-02-10,49.9,47.4,48.2,47.4,4.58,500450,HSG
08-02-10,48,47,48,47.7,4.61,205840,HSG
09-02-10,47.8,47,47.7,47,4.54,225560,HSG
10-02-10,48.4,47,47,47.6,4.6,97730,HSG
11-02-10,48.8,47.6,47.6,48.7,4.71,200100,HSG
12-02-10,50,49,49.8,49.7,4.8,316920,HSG
22-02-10,49.8,49,49.8,49,4.73,244500,HSG
23-02-10,48.5,47.8,47.8,48.2,4.66,277280,HSG
24-02-10,48.5,47.7,47.7,48.5,4.69,232150,HSG
25-02-10,49,48.4,48.8,48.4,4.68,188230,HSG
26-02-10,50.5,48.3,48.4,50,4.83,616340,HSG
01-03-10,51,49.6,50.5,50,4.83,174830,HSG
02-03-10,52.5,49.5,50,50.5,4.88,567660,HSG
03-03-10,52,51,51.5,52,5.02,641090,HSG
04-03-10,54,52.5,53.5,52.5,5.07,604590,HSG
05-03-10,53,52,52,52.5,5.07,685130,HSG
08-03-10,53.5,52.5,53.5,53,5.12,820710,HSG
09-03-10,55.5,52.5,53,55.5,5.36,1299440,HSG
10-03-10,57,54.5,55,56,5.41,722260,HSG
11-03-10,56.5,55,56,55,5.31,629820,HSG
12-03-10,55.5,54.5,55,55,5.31,505960,HSG
15-03-10,56,54.5,56,55,5.31,578650,HSG
16-03-10,55,52.5,54.5,52.5,5.07,732240,HSG
17-03-10,54,51.5,53.5,51.5,4.98,516470,HSG
18-03-10,53.5,51.5,51.5,53.5,5.17,321010,HSG
19-03-10,53.5,52.5,53,52.5,5.07,229670,HSG
22-03-10,53,51.5,52,51.5,4.98,231010,HSG
23-03-10,52,50.5,52,50.5,4.88,293750,HSG
24-03-10,51.5,50.5,51,51,4.93,388270,HSG
25-03-10,52,50.5,51,51,4.93,695430,HSG
26-03-10,51.5,50.5,51,51,4.93,557150,HSG
29-03-10,44.6,43.6,44.6,43.6,5.05,494240,HSG
30-03-10,43.6,42.2,43.6,42.2,4.89,250410,HSG
31-03-10,42.5,41.2,42.2,41.2,4.78,354640,HSG
01-04-10,42.5,41.1,41.5,42.4,4.92,235060,HSG
02-04-10,43.7,42.3,42.6,43.7,5.07,424760,HSG
05-04-10,45.4,45,45.1,45.2,5.24,835250,HSG
06-04-10,47.4,45.9,46.3,47,5.45,998910,HSG
07-04-10,47.1,46.4,46.7,46.8,5.43,458160,HSG
08-04-10,47,46.4,46.8,46.6,5.4,503320,HSG
09-04-10,46.8,46.2,46.5,46.2,5.36,521280,HSG
12-04-10,47,46.2,46.2,46.3,5.37,351090,HSG
13-04-10,46.4,45.7,46.1,45.8,5.31,374790,HSG
14-04-10,46.8,45.6,46.8,45.8,5.31,268970,HSG
15-04-10,46.3,46,46,46.2,5.36,212450,HSG
16-04-10,46.6,45.7,46.5,45.7,5.3,341490,HSG
19-04-10,46,45.1,46,45.3,5.25,273960,HSG
20-04-10,46,45,45,45,5.22,223730,HSG
21-04-10,45.5,44.9,45,45,5.22,295810,HSG
22-04-10,46.8,45.6,45.7,45.9,5.32,593020,HSG
26-04-10,46.7,45.5,45.5,45.6,5.29,223720,HSG
27-04-10,46.2,44.8,44.8,45.9,5.32,530920,HSG
28-04-10,46,45.8,45.9,45.9,5.32,479920,HSG
29-04-10,46,45.6,45.9,45.8,5.31,218630,HSG
04-05-10,46.4,45.6,46,46,5.33,461920,HSG
05-05-10,46,45.6,45.8,45.8,5.31,478440,HSG
06-05-10,46.2,45.7,46,45.8,5.31,372650,HSG
07-05-10,45.5,44.5,45.1,45,5.22,575420,HSG
10-05-10,44.8,44.2,44.2,44.5,5.16,316910,HSG
11-05-10,45,44.5,45,44.8,5.19,252220,HSG
12-05-10,44.9,44,44,44,5.1,399960,HSG
13-05-10,44.9,44,44,44.3,5.14,282070,HSG
14-05-10,45,44.7,45,44.9,5.21,213250,HSG
17-05-10,44.1,43.8,44.1,43.8,5.08,211560,HSG
18-05-10,44,43.6,43.8,43.6,5.05,186960,HSG
19-05-10,43.6,42.2,43.6,42.5,4.93,379860,HSG
20-05-10,43,41,41,42.8,4.96,269210,HSG
21-05-10,41.4,40.7,40.7,40.7,4.72,766390,HSG
24-05-10,41.5,40.5,40.7,40.8,4.73,461550,HSG
25-05-10,41.3,40.5,40.8,41.2,4.78,337850,HSG
26-05-10,42.2,41.4,41.7,42.2,4.89,150010,HSG
27-05-10,41.9,40.8,41,41.9,4.86,115720,HSG
28-05-10,43.2,42,42.9,43,4.99,207620,HSG
31-05-10,43,42.1,43,42.1,4.88,170070,HSG
01-06-10,42.3,41.5,42.1,42.1,4.88,341330,HSG
02-06-10,42,41.2,41.6,41.6,4.82,268400,HSG
03-06-10,42,41.7,42,41.7,4.83,401650,HSG
04-06-10,41.7,41.1,41.5,41.3,4.79,236850,HSG
07-06-10,40.8,39.8,40,39.8,4.61,264610,HSG
08-06-10,39.8,38.6,39.8,38.9,4.51,309330,HSG
09-06-10,39.5,38.5,39,38.7,4.49,284540,HSG
10-06-10,38.8,38.5,38.7,38.7,4.49,141840,HSG
11-06-10,39.3,38.4,39,38.6,4.48,223290,HSG
14-06-10,39.4,38.6,39.4,39,4.52,119380,HSG
15-06-10,39.4,38.9,39.4,39.3,4.56,157450,HSG
