date,high,low,open,close,adjust,volume,symbol
04-01-10,86.5,86.5,86.5,86.5,35.45,218640,VIS
05-01-10,90.5,90.5,90.5,90.5,37.09,92400,VIS
06-01-10,95,92,94,95,38.93,300910,VIS
07-01-10,99.5,98.5,99.5,99,40.57,690830,VIS
08-01-10,100,94.5,99.5,94.5,38.73,527970,VIS
11-01-10,96,90,96,91,37.29,669470,VIS
12-01-10,95.5,90,91,94,38.52,920840,VIS
13-01-10,98.5,91.5,93,98.5,40.37,590560,VIS
14-01-10,103,99.5,103,103,42.21,385850,VIS
15-01-10,107,101,104,101,41.39,457430,VIS
18-01-10,98,96,96.5,96,39.34,339920,VIS
19-01-10,96.5,92,94,93,38.11,510870,VIS
20-01-10,95,89,94.5,89,36.47,211980,VIS
21-01-10,88.5,85,85.5,85,34.83,385870,VIS
22-01-10,85,81,81,81,33.2,350300,VIS
25-01-10,85,80.5,80.5,85,34.83,403300,VIS
26-01-10,89,89,89,89,36.47,36230,VIS
27-01-10,93,91,93,92,37.7,1043630,VIS
28-01-10,91.5,88,90,88,36.06,298740,VIS
29-01-10,89.5,84.5,87,89.5,36.68,256360,VIS
01-02-10,92,89,90,91,37.29,216600,VIS
02-02-10,91.5,88.5,91.5,88.5,36.27,162540,VIS
03-02-10,92.5,88,90,92.5,37.91,383770,VIS
04-02-10,97,93,93,97,39.75,709520,VIS
05-02-10,101,95,96,97.5,39.96,648640,VIS
08-02-10,98.5,96.5,96.5,98,40.16,336130,VIS
09-02-10,97,95,97,95,38.93,213840,VIS
10-02-10,98,95,96,96.5,39.55,114530,VIS
11-02-10,100,97,100,99,40.57,532910,VIS
12-02-10,100,97.5,100,99,40.57,220470,VIS
22-02-10,99.5,97.5,99,97.5,39.96,364540,VIS
23-02-10,95,93,94,93,38.11,293790,VIS
24-02-10,93,89.5,91.5,92,37.7,330770,VIS
25-02-10,94,90.5,94,90.5,37.09,569580,VIS
26-02-10,50,50,50,50,38.84,176170,VIS
01-03-10,52.5,52.5,52.5,52.5,40.78,201060,VIS
02-03-10,55,54,55,55,42.72,1245190,VIS
03-03-10,57.5,56.5,57,57.5,44.66,821280,VIS
04-03-10,60,60,60,60,46.61,277130,VIS
05-03-10,63,60.5,62,62.5,48.55,669410,VIS
08-03-10,63,61,62,62,48.16,599590,VIS
