date,open,high,low,close,volume,symbol
1/4/2010,60.0,61.0,60.0,61.0,653120,HPG
1/5/2010,64.0,64.0,61.0,64.0,1203080,HPG
1/6/2010,63.5,66.0,63.0,66.0,1771660,HPG
1/7/2010,67.0,69.0,66.0,68.0,1535800,HPG
1/8/2010,69.5,69.5,65.0,65.0,909010,HPG
1/11/2010,65.0,66.0,63.5,64.0,761910,HPG
1/12/2010,63.0,64.5,61.5,61.5,885660,HPG
1/13/2010,61.5,63.0,59.0,63.0,958420,HPG
1/14/2010,64.0,64.0,62.0,62.0,402680,HPG
1/15/2010,62.0,63.0,61.0,61.0,472400,HPG
1/18/2010,60.5,60.5,59.0,59.0,497510,HPG
1/19/2010,59.5,61.5,59.5,60.5,594060,HPG
1/20/2010,61.5,61.5,60.0,60.0,524300,HPG
1/21/2010,59.0,60.5,58.5,58.5,425450,HPG
1/22/2010,58.0,59.0,57.5,58.5,586550,HPG
1/25/2010,58.0,59.5,58.0,59.5,199710,HPG
1/26/2010,61.0,62.0,61.0,62.0,536240,HPG
1/27/2010,62.0,62.5,60.0,60.0,271340,HPG
1/28/2010,59.5,60.5,59.0,59.0,245300,HPG
1/29/2010,60.5,61.0,59.0,60.0,393890,HPG
2/1/2010,61.0,62.5,61.0,62.5,484240,HPG
2/2/2010,64.5,64.5,62.5,64.0,1106050,HPG
2/3/2010,64.5,64.5,63.5,64.5,884930,HPG
2/4/2010,64.0,65.5,63.5,64.5,912150,HPG
2/5/2010,63.0,64.0,62.5,63.0,572270,HPG
2/8/2010,62.5,63.5,62.5,63.0,472190,HPG
2/9/2010,62.5,63.0,62.0,63.0,328950,HPG
2/10/2010,63.0,64.0,62.5,64.0,278940,HPG
2/11/2010,64.0,64.5,63.5,64.0,203140,HPG
2/12/2010,64.0,64.5,64.0,64.5,253950,HPG
2/22/2010,64.5,64.5,63.5,64.0,184990,HPG
2/23/2010,62.5,63.0,61.5,62.0,356540,HPG
2/24/2010,62.0,62.0,60.5,62.0,371930,HPG
2/25/2010,62.0,63.0,61.5,61.5,407930,HPG
2/26/2010,61.5,62.0,60.5,60.5,451710,HPG
3/1/2010,61.0,62.0,61.0,61.5,284110,HPG
3/2/2010,61.5,64.0,61.5,63.0,549860,HPG
3/3/2010,64.0,64.0,63.0,64.0,499740,HPG
3/4/2010,65.0,65.5,64.0,64.0,694000,HPG
3/5/2010,64.5,65.0,64.0,64.5,480790,HPG
3/8/2010,65.5,66.0,64.5,66.0,450120,HPG
3/9/2010,66.0,66.5,65.0,66.0,943010,HPG
3/10/2010,66.0,67.0,65.5,67.0,596790,HPG
3/11/2010,69.0,70.0,68.5,69.0,1672180,HPG
3/12/2010,69.5,69.5,68.5,69.0,623150,HPG
3/15/2010,69.0,69.5,68.5,68.5,497550,HPG
3/16/2010,68.0,68.0,66.5,66.5,645500,HPG
3/17/2010,67.0,67.0,65.0,65.0,682260,HPG
